City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Cabo San Lucas,MX,82.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
298,Pital,CO,83.03,light rain,2.27,-75.8,Finca el Rebaño Vida el Uvital
303,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
310,Balsas,BR,88.63,overcast clouds,-7.53,-46.04,Novo Hotel
312,Coyah,GN,78.15,overcast clouds,9.75,-13.42,Antenne UN Guinea canal 1.2.3
320,Belmonte,BR,84.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
321,Lorengau,PG,81.82,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
328,Tomatlan,MX,87.46,few clouds,19.93,-105.25,Norma franco
329,Massaguet,TD,75.74,scattered clouds,12.48,15.44,Alwatane
330,Vanimo,PG,78.24,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
333,Jacmel,HT,89.6,few clouds,18.23,-72.53,Hotel Florita
337,Puerto Escondido,MX,84.2,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
346,Port Blair,IN,80.62,clear sky,11.67,92.75,Welcomhotel Bay Island Port Blair
351,Kavaratti,IN,82.24,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
361,Mareeba,AU,75.2,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
364,Salalah,OM,78.8,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
368,Valparaiso,CL,80.6,clear sky,-33.04,-71.63,Hotel Ultramar
373,Libreville,GA,82.4,scattered clouds,0.39,9.45,Hotel Re-Ndama
374,Maceio,BR,80.6,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
381,Villa Union,MX,84.2,clear sky,23.2,-106.23,My Fantasy Auto-Hotel
387,Vallenar,CL,87.55,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
389,Port Hedland,AU,78.8,clear sky,-20.32,118.57,The Esplanade Hotel
392,Mogadishu,SO,80.19,clear sky,2.04,45.34,Hotel Juba
393,Sao Felix Do Xingu,BR,85.12,moderate rain,-6.64,-51.99,Apart Hotel Rio Xingu
394,Neiafu,TO,77.0,broken clouds,-18.65,-173.98,Mystic Sands
397,Vila Velha,BR,82.4,few clouds,-20.33,-40.29,Hotel Vitória Palace
400,Coolum Beach,AU,75.0,broken clouds,-26.53,153.1,Palmer Coolum Resort
401,Sao Joao Do Piaui,BR,87.04,overcast clouds,-8.36,-42.25,Nayra Palace Hotel
411,Bairiki,KI,82.4,few clouds,1.33,172.98,Tarawa Boutique Hotel
415,Sinnamary,GF,82.6,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
